combo_id,trigger_target,ligand,receptor,niche_id,niche_name,combo_niche_effect,target_priority_score
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,7,H3_N07_MonocyteRich,2.295891208896896,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,7,H3_N07_MonocyteRich,2.295891208896896,0.6583875917538764
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,11,H2_N11_MonocyteRich,1.7623732272090236,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,11,H2_N11_MonocyteRich,1.7623732272090236,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,13,H2_N13_FibroRich,0.6598680975464705,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,13,H2_N13_FibroRich,0.6598680975464705,0.85619089828618
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,8,H2_N08_FibroRich,0.6148448262667356,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,8,H2_N08_FibroRich,0.6148448262667356,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,14,H1_N14_FibroRich,0.6117464505380172,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,14,H1_N14_FibroRich,0.6117464505380172,0.6583875917538764
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,4,H1_N04_FibroRich,0.4986619635456075,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,4,H1_N04_FibroRich,0.4986619635456075,0.85619089828618
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,6,H1_N06_TAMRich,0.3563065034008942,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,6,H1_N06_TAMRich,0.3563065034008942,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,15,H1_N15_FibroRich,0.1799433572857936,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,15,H1_N15_FibroRich,0.1799433572857936,0.6583875917538764
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,5,H3_N05_NKRich,0.0568372503245081,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,5,H3_N05_NKRich,0.0568372503245081,0.85619089828618
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,0,H1_N00_FibroRich,0.0545522561456538,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,0,H1_N00_FibroRich,0.0545522561456538,0.6583875917538764
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,1,H2_N01_NKRich,-0.1348526732407675,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,1,H2_N01_NKRich,-0.1348526732407675,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,16,H2_N16_NKRich,-0.3387061226060587,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,16,H2_N16_NKRich,-0.3387061226060587,0.85619089828618
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,3,H3_N03_EndothelialRich,-0.7171660515647792,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,3,H3_N03_EndothelialRich,-0.7171660515647792,0.6583875917538764
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,12,H2_N12_NKRich,-0.9484685215139618,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,12,H2_N12_NKRich,-0.9484685215139618,0.85619089828618
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,2,H3_N02_MASTRich,-0.9769256049206616,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,2,H3_N02_MASTRich,-0.9769256049206616,0.6583875917538764
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,9,H1_N09_NKRich,-1.1054484967357978,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,9,H1_N09_NKRich,-1.1054484967357978,0.85619089828618
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,10,H3_N10_MASTRich,-1.133974927599359,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,10,H3_N10_MASTRich,-1.133974927599359,0.6583875917538764
INHBA|INHBA->ACVR2A,INHBA,INHBA,ACVR2A,17,H3_N17_NKRich,-1.7354827429782205,0.85619089828618
INHBA|INHBA->ACVR1B,INHBA,INHBA,ACVR1B,17,H3_N17_NKRich,-1.7354827429782205,0.6583875917538764
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,3,H3_N03_EndothelialRich,2.0271640943361104,0.7287279872768017
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,3,H3_N03_EndothelialRich,1.5743413814184144,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,13,H2_N13_FibroRich,1.3585634734251308,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,8,H2_N08_FibroRich,1.335807532462287,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,14,H1_N14_FibroRich,1.229045194095005,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,4,H1_N04_FibroRich,1.0309619772783971,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,6,H1_N06_TAMRich,0.8451058884016521,0.6946688494554188
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,13,H2_N13_FibroRich,0.8284492045647263,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,8,H2_N08_FibroRich,0.8142886088090622,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,14,H1_N14_FibroRich,0.7373524456117904,0.7287279872768017
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,15,H1_N15_FibroRich,0.6696524588406862,0.6946688494554188
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,4,H1_N04_FibroRich,0.5998261524951014,0.7287279872768017
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,0,H1_N00_FibroRich,0.5768479756921966,0.6946688494554188
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,6,H1_N06_TAMRich,0.4783099280088006,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,15,H1_N15_FibroRich,0.3725865930606351,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,0,H1_N00_FibroRich,0.3189489796921065,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,11,H2_N11_MonocyteRich,0.1719522557528628,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,7,H3_N07_MonocyteRich,0.0569581830782065,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,5,H3_N05_NKRich,-0.2413919882623356,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,1,H2_N01_NKRich,-0.2430542994211487,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,16,H2_N16_NKRich,-0.2917745609977826,0.7287279872768017
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,16,H2_N16_NKRich,-0.5606653480910762,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,1,H2_N01_NKRich,-0.5802149141516929,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,5,H3_N05_NKRich,-0.6531008120406239,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,11,H2_N11_MonocyteRich,-0.8054173663256889,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,9,H1_N09_NKRich,-0.8630731187652924,0.6946688494554188
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,12,H2_N12_NKRich,-0.8754892729888177,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,9,H1_N09_NKRich,-0.8901621254495236,0.7287279872768017
