gene,n_celltypes_neu,n_celltypes_icb,n_celltypes_ifng,cross_queue_count,mean_lfc,mean_abs_lfc,direction_consistency,min_padj,neg_log10_padj,is_anchor,is_ifng_target,celltypes_neu,celltypes_icb,celltypes_ifng,init_score,s_causal,s_spatial,s_consistency,s_actionability,s_niche,final_score,rank
FN1,4,2,1,3,1.264926104496536,1.700761086506149,0.5714285714285714,1.4656230421360998e-14,13.833977715760083,False,True,Cancer_Colonocyte_like;Cancer_Crypt_like;Cancer_Goblet_like;Cancer_TA_like,Pericyte;SMC,unknown,7.540649850517484,0.7403189066059225,0.8423979779142399,0.951606925538046,0.4,1.0,0.8235809525145522,1
INHBA,0,2,1,2,1.3238842521965328,1.6906693999584672,0.5,1.07226423414272e-71,70.9696981798582,True,True,,Fibro;Mph,unknown,5.599592836851129,1.0,0.8637465153145962,0.485999058389083,1.0,0.7,0.7924363934259198,2
COL1A1,2,3,1,3,-1.019953006266199,1.019953006266199,0.8333333333333334,3.12311062004236e-163,162.50541263286132,False,True,Cancer_Crypt_like;Cancer_Goblet_like,Fibro;Pericyte;Stromal,unknown,8.370433706769925,0.7403189066059225,0.4804147054523135,0.9956876133980744,0.4,1.0,0.7441053063640777,3
MFAP2,4,3,0,2,0.4050359129831304,1.4224377781021975,0.6666666666666666,1.76923433306274e-104,103.75221464147346,True,False,Cancer_Colonocyte_like;Cancer_Crypt_like;Cancer_Goblet_like;Cancer_TA_like,Fibro;Pericyte;Stromal,,5.545188547210316,1.0,0.9812398318205684,0.517628228419499,1.0,0.0,0.7247170150600168,4
POSTN,0,1,0,1,-1.89219412077981,1.89219412077981,1.0,1.8617303320354e-11,10.730083225497816,True,False,,Pericyte,,3.327567843458667,1.0,0.9899354897161668,0.1533627467975903,1.0,0.0,0.6358245591284393,5
IFNG,5,1,1,3,-0.9721303882441958,0.9721303882441958,0.8571428571428571,3.46782628850103e-08,7.459942665473493,False,True,Plasma_IgA;T_cell_CD4;T_cell_CD8;T_cell_CD8_cycling;T_cell_regulatory,T,unknown,7.7274776078499805,0.5694760820045558,0.0,1.0,0.4,1.0,0.582369020501139,6
CXCL10,2,0,1,2,-1.7771864432805775,1.7771864432805775,0.6666666666666666,2.309806954992597e-13,12.636424315296091,False,True,Cancer_Colonocyte_like;Cancer_TA_like,,unknown,5.564040574060977,0.7403189066059225,0.0,0.5253200586255509,0.4,0.7,0.4614097413078684,9
CD74,6,6,1,3,-0.572216019205398,1.0230038808458553,0.6875,3.10663902738266e-204,203.5077092061989,False,True,Cancer_Colonocyte_like;Cancer_Crypt_like;Cancer_Goblet_like;Cancer_TA_like;Endothelial_arterial;Mast_cell,B;Coloncyte;Epi;Glia;Mph;PlasmaB,unknown,8.583899660245896,0.1138952164009111,0.0,0.9629893046317888,0.4,1.0,0.459221130258175,10
TGFB1,2,3,0,2,-0.4783222646128542,0.6634151172660615,0.8333333333333334,2.8590924735567e-63,62.54377179773543,False,False,Cancer_Crypt_like;Cancer_TA_like,CD8;PlasmaB;T,,5.3190124359281965,0.7403189066059225,0.0,0.5386158324370118,1.0,0.0,0.4197336847607336,11
TGFBR2,4,1,0,2,0.546838226735817,0.8041442027539987,0.8,9.88692725985422e-15,14.004938661025424,False,False,Cancer_Colonocyte_like;Cancer_Crypt_like;Cancer_Goblet_like;Cancer_TA_like,Endo,,5.140280209596018,0.7403189066059225,0.0,0.5341781685021166,1.0,0.0,0.4186242687770097,12
CCL18,2,1,0,2,-1.8675183411184075,1.8675183411184075,1.0,5.0013931493111e-14,13.300909005107334,False,False,Cancer_Crypt_like;Macrophage_cycling,Mph,,5.413772938993635,0.7403189066059225,0.0,0.6021688706910043,0.4,0.0,0.3756219443242317,18
